fnummer,personstatus,fornavn,etternavn,kjoenn,foedselsdato,postnummer
01850897731,BOSATT,Kursiv,Terskel,MANN,2008-05-01,1890
02818397650,BOSATT,Familiær,Litteratur,KVINNE,1983-01-02,5984
02821397734,BOSATT,Tremulert,Geografi,MANN,2013-02-02,1163
02858897443,BOSATT,Stappmett,Turfreak,KVINNE,0000,0484
02890696905,BOSATT,Samarbeidsvillig,Litteratur,MANN,2006-09-02,5984
02898196502,BOSATT,Varm,Slåbrokk,MANN,1981-09-02,1672
02901598870,BOSATT,Snasen,Geografi,KVINNE,2015-10-02,1163
03831298293,BOSATT,Alvorlig,Mann,KVINNE,2012-03-03,6265
03839097483,BOSATT,Tankefull,Adresse,KVINNE,1990-03-03,2005
03847192703,BOSATT,Neste,Abakus,MANN,1971-04-03,9411
03861498629,BOSATT,Humpete,Geografi,KVINNE,2014-06-03,1163
03928597821,BOSATT,Effektiv,Mann,KVINNE,1985-12-03,6265
04818697843,BOSATT,Glinsende,Gaselle,KVINNE,1986-01-04,2005
04832097859,BOSATT,Sunn,Fyrstinne,KVINNE,2020-03-04,7357
04865796612,BOSATT,Akustisk,Abbed,KVINNE,1957-06-04,1358
04868397174,BOSATT,Dyktig,Sete,MANN,1983-06-04,0139
04877997303,DOED,Nyttig,Kunnskap,MANN,1979-07-04,0254
04878597368,BOSATT,Rask,Bil,MANN,1985-07-04,2005
04918197716,BOSATT,Uttrykksfull,Abakus,MANN,1981-11-04,4836
04926395780,BOSATT,Blind,Jeger,MANN,1963-12-04,1169
05820998199,BOSATT,Fininnstilt,Geografi,MANN,2009-02-05,1163
05821196401,BOSATT,Fin,Fastmerke,KVINNE,2011-02-05,8135
05831498899,BOSATT,Blid,Kvern,KVINNE,2014-03-05,8135
05846095103,BOSATT,Liten,Vegg,MANN,1960-04-05,0953
05856298010,BOSATT,Lys,Kiosk,KVINNE,1962-05-05,9023
05900697815,BOSATT,Tradisjonsbunden,Fetter,KVINNE,2006-10-05,4336
05901198642,BOSATT,Sviktende,Geografi,KVINNE,2011-10-05,1163
05918298217,BOSATT,Stabil,Sans,KVINNE,1982-11-05,8135
05924796520,BOSATT,Topp,Abakus,MANN,1947-12-05,1166
06861097607,BOSATT,Sviktende,Geografi,KVINNE,2010-06-06,1163
06866696789,BOSATT,Idiotsikker,Abakus,MANN,1966-06-06,4460
06869196930,BOSATT,Skummel,Anakonda,MANN,1991-06-06,2005
06888996506,BOSATT,Sliten,Agurk,MANN,1989-08-06,2005
06889197542,BOSATT,Vann,Ballon,MANN,1991-08-06,2004
06895297036,DOED,Støyfri,Abakus,KVINNE,1952-09-06,1263
06928296235,BOSATT,Skjør,Kvern,KVINNE,1982-12-06,8135
07817898062,BOSATT,Fininnstilt,Villblomst,KVINNE,0000,0604
07819196405,DOED,Streng,Vikar,KVINNE,1991-01-07,2010
07829097359,BOSATT,Sivilisert,Mann,MANN,1990-02-07,6265
07841497982,BOSATT,Sympatisk,Fastmerke,MANN,2014-04-07,8135
07845996339,DOED,Sølvaktig-Mektig,Tornado,MANN,1959-04-07,3610
07852098559,BOSATT,Minkende,Galoppsport,MANN,2020-05-07,3219
07886895350,BOSATT,Sliten,Edderkopp,MANN,1968-08-07,2005
07910797713,BOSATT,Blomstrete,Fluktstol,MANN,2007-11-07,1890
08820597924,BOSATT,Heit,Geografi,MANN,2005-02-08,1163
08827797953,BOSATT,Snerpete,Bilring,MANN,0000,9900
08838196900,BOSATT,Bra,Lenestol,MANN,1981-03-08,0139
08852199998,BOSATT,Innsiktsfull*Gutt,Abakus,MANN,2021-05-08,7560
08881196388,BOSATT,Rett,Sans,MANN,2011-08-08,8135
08888197169,DOED,Utvidet,Lunch,MANN,1981-08-08,0254
08900797339,BOSATT,Snerpete,Geografi,MANN,2007-10-08,1163
08910898133,BOSATT,Glad,Fredag,MANN,2008-11-08,1890
09852199684,BOSATT,Ullen*Pike,Blåveis,KVINNE,2021-05-09,2165
09852199846,BOSATT,Upopulær*Pike,Abakus,KVINNE,2021-05-09,1353
09860698061,BOSATT,Heit,Geografi,KVINNE,2006-06-09,1163
09865298029,DOED,Treffsikker,Regnjakke,KVINNE,1952-06-09,2000
09872098779,BOSATT,Overmodig,Serviett,MANN,2020-07-09,0673
09887198559,DOED,Følsom,Bukett,MANN,1971-08-09,2324
09896196429,BOSATT,Nyttig,Kiosk,KVINNE,1961-09-09,9023
09897897358,BOSATT,Kulturell,Pilot,MANN,1978-09-09,9022
09898997801,BOSATT,Hoppende,Korist,KVINNE,1989-09-09,2080
09917194898,DOED,Forsiktig,Billett,KVINNE,1971-11-09,3811
09919094319,BOSATT,Lykkelig,Ubåt,MANN,1990-11-09,1178
10852199976,FOEDSELSREGISTRERT,Fryktelig*Gutt,Grønn,MANN,2021-05-10,None
10888297249,BOSATT,Ungt,Abakus,KVINNE,1982-08-10,3519
10908498769,BOSATT,Aldrende,Fastmerke,MANN,1984-10-10,8135
11820197897,BOSATT,Sviktende,Fan,KVINNE,2001-02-11,1636
