fnummer1,fnummer2,fnummer1_rolle,ergjeldende,gyldighetsdato
02818397650,02890696905,MOR,True,2021-01-20
02818397650,11871198235,MOR,True,2021-01-20
02818397650,12828898742,EKTEFELLE_ELLER_PARTNER,True,2021-01-20
02821397734,12878197559,BARN,True,2021-02-10
02821397734,17898198227,BARN,True,2021-02-10
02858897443,27841899666,MOR,True,2021-04-16
02858897443,22821497101,MOR,True,2021-04-16
02858897443,25917695752,EKTEFELLE_ELLER_PARTNER,True,2021-04-16
02890696905,02818397650,BARN,True,2021-01-20
02890696905,12828898742,BARN,True,2021-01-20
02898196502,17911897733,FAR,True,2021-06-29
02898196502,None,EKTEFELLE_ELLER_PARTNER,True,2021-06-29
02901598870,12878197559,BARN,True,2021-02-10
02901598870,17898198227,BARN,True,2021-02-10
03831298293,03928597821,BARN,True,2021-03-03
03831298293,07829097359,BARN,True,2021-03-03
03847192703,05919498600,FAR,True,2021-04-08
03847192703,21924596403,BARN,True,1970-04-03
03847192703,26904598339,BARN,True,1970-04-03
03847192703,23907097013,EKTEFELLE_ELLER_PARTNER,True,1970-01-01
03861498629,12878197559,BARN,True,2021-02-10
03861498629,17898198227,BARN,True,2021-02-10
03928597821,03831298293,MOR,True,2021-03-03
03928597821,07829097359,EKTEFELLE_ELLER_PARTNER,True,2021-03-03
04818697843,24881698974,MOR,True,2021-06-10
04832097859,21888599484,BARN,True,2020-03-04
04832097859,22898599918,BARN,True,2020-03-04
04878597368,24881698974,FAR,True,2021-06-10
05820998199,12878197559,BARN,True,2021-02-10
05820998199,17898198227,BARN,True,2021-02-10
05821196401,15818896082,BARN,True,2020-12-01
05821196401,10908498769,BARN,True,2020-12-01
05831498899,06928296235,BARN,True,2020-12-01
05831498899,13828798337,BARN,True,2020-12-01
05846095103,17915795714,EKTEFELLE_ELLER_PARTNER,True,2021-06-16
05856298010,09896196429,EKTEFELLE_ELLER_PARTNER,True,2020-06-16
05901198642,12878197559,BARN,True,2021-02-10
05901198642,17898198227,BARN,True,2021-02-10
05918298217,08881196388,MOR,True,2020-12-01
05918298217,16821497349,MOR,True,2020-12-01
05918298217,11929196319,EKTEFELLE_ELLER_PARTNER,True,2020-12-01
06861097607,12878197559,BARN,True,2021-02-10
06861097607,17898198227,BARN,True,2021-02-10
06866696789,27863948482,BARN,True,1966-06-06
06866696789,09903748394,BARN,True,1966-06-06
06895297036,23868898127,MOR,True,2021-04-08
06895297036,15827898489,MOR,True,2021-04-08
06895297036,06918898261,MOR,True,2021-04-08
06895297036,04888099293,MOR,True,2021-04-08
06895297036,22921848831,BARN,True,1952-09-05
06895297036,11901649199,BARN,True,1952-09-05
06895297036,11895197353,EKTEFELLE_ELLER_PARTNER,True,1970-01-01
06928296235,04851197740,MOR,True,2020-12-01
06928296235,05831498899,MOR,True,2020-12-01
06928296235,13828798337,EKTEFELLE_ELLER_PARTNER,True,2020-12-01
07817898062,12881698844,MOR,True,2021-04-16
07817898062,21810997300,MOR,True,2021-04-16
