hovedperson,ektefelleEllerPartner,sivilstand,erGjeldende,sivilstandsdato,myndighet
02818397650,12828898742,GIFT,True,2010-09-14,None
02858897443,25917695752,GIFT,True,2021-04-16,DEN_NORSKE_KIRKE
02898196502,27049000000,GIFT,True,2016-11-17,None
03839097483,None,GIFT,False,None,None
03847192703,23907097013,GIFT,True,2000-06-30,None
03928597821,07829097359,GIFT,True,2010-09-16,None
04918197716,None,GIFT,False,None,None
05846095103,None,REGISTRERT_PARTNER,True,1987-11-16,None
05856298010,None,SKILT_PARTNER,True,2016-01-07,None
05918298217,11929196319,GIFT,True,2010-09-17,None
05924796520,None,GIFT,False,None,None
06888996506,None,GIFT,False,None,None
06895297036,11895197353,GIFT,True,1999-03-21,None
06928296235,13828798337,GIFT,True,2010-09-17,None
07817898062,08827797953,GIFT,True,2021-04-16,DEN_NORSKE_KIRKE
07829097359,03928597821,GIFT,True,2010-09-16,None
08827797953,07817898062,GIFT,True,2021-04-16,DEN_NORSKE_KIRKE
09865298029,17885398022,SEPARERT_PARTNER,False,2010-03-21,None
09865298029,17885398022,SKILT_PARTNER,True,2021-01-01,DOMSTOLEN
09896196429,None,SKILT_PARTNER,True,2016-01-07,None
09917194898,None,SEPARERT_PARTNER,True,2018-05-19,None
10888297249,04878399256,GIFT,True,2005-10-24,None
10908498769,15818896082,GIFT,True,2010-09-17,None
11896395302,None,SEPARERT_PARTNER,True,2019-03-03,None
11929196319,05918298217,GIFT,True,2010-09-17,None
12828898742,02818397650,GIFT,True,2010-09-14,None
12850096749,None,UOPPGITT,True,None,None
12928998469,None,GIFT,False,None,None
13828798337,06928296235,GIFT,True,2010-09-17,None
14826194635,None,REGISTRERT_PARTNER,True,1989-07-14,None
14875196597,17855095386,REGISTRERT_PARTNER,False,2007-01-01,None
14875196597,17855095386,SEPARERT_PARTNER,True,2021-06-21,STATSFORVALTEREN
14884895791,None,SKILT_PARTNER,True,2018-01-27,None
14915194827,None,REGISTRERT_PARTNER,True,1999-12-31,None
14925695786,14097100000,GIFT,True,2020-06-26,None
15818896082,10908498769,GIFT,True,2010-09-17,None
17846197265,None,REGISTRERT_PARTNER,True,1989-07-14,None
17855095386,14875196597,GJENLEVENDE_PARTNER,True,2021-06-22,None
17855095386,14875196597,REGISTRERT_PARTNER,False,2007-01-01,None
17855095386,14875196597,SEPARERT_PARTNER,False,2021-06-21,STATSFORVALTEREN
17875697463,None,REGISTRERT_PARTNER,True,1989-04-09,None
17885398022,09865298029,SEPARERT_PARTNER,False,2010-03-21,None
17885398022,09865298029,SKILT_PARTNER,True,2021-01-01,DOMSTOLEN
17899198093,15058900000,GIFT,True,2018-11-24,None
17915195113,None,REGISTRERT_PARTNER,True,1995-11-17,None
17915795714,None,REGISTRERT_PARTNER,True,1987-11-16,None
17918198083,None,SEPARERT_PARTNER,True,2019-04-27,None
17919198192,17099500000,GIFT,True,2019-07-14,None
18878298469,54918102305,GIFT,True,2021-07-12,UTENRIKSTJENESTEN
20917698490,None,GIFT,False,None,None
21835295475,24815297403,REGISTRERT_PARTNER,False,2007-01-01,None
21835295475,24815297403,SEPARERT_PARTNER,True,2021-06-21,DOMSTOLEN
21865394834,None,REGISTRERT_PARTNER,True,1999-12-31,None
24815297403,21835295475,GJENLEVENDE_PARTNER,True,2021-06-22,None
24815297403,21835295475,REGISTRERT_PARTNER,False,2007-01-01,None
